Accuracy,Precision (Class 0),Precision (Class 1),Precision (Class 2),Recall (Class 0),Recall (Class 1),Recall (Class 2),F1 Score (Class 0),F1 Score (Class 1),F1 Score (Class 2),Label Confusion Matrix,Confusion Matrix
0.7404115226337449,0.8160535117056856,0.7435387673956262,0.37310195227765725,0.9525934188510876,0.8191489361702128,0.15837937384898712,0.8790530108080289,0.779514664284651,0.22236586942469297,
"[[[3897  385]
  [  85 1708]]

 [[1976  903]
  [ 578 2618]]

 [[4700  289]
  [ 914  172]]]",
  
  "[[1708   74   11]
 [ 300 2618  278]
 [  85  829  172]]"
